SubjID,cond,RespID,ItemID,tord,tplay,tbegin,tend,choice,listID,ncond,tloc,cloc,RT,mtord,half
10,control,204.0,boat,4.0,5615251.0,5617051.0,5618731.0,TARGET,newer_NNS2,NNS,4,10,1680.0,9.5,0.0
10,control,206.0,pizza,6.0,5669301.0,5670281.0,5671854.0,TARGET,newer_NNS2,NNS,12,3,1573.0,9.5,0.0
10,control,211.0,telephone,11.0,5830743.0,5832213.0,5833758.0,TARGET,newer_NNS2,NNS,14,5,1545.0,9.5,1.0
10,control,208.0,chair,8.0,5743075.0,5744905.0,5746362.0,TARGET,newer_NNS2,NNS,11,3,1457.0,9.5,0.0
10,control,213.0,swan,13.0,5876769.0,5877989.0,5879576.0,TARGET,newer_NNS2,NNS,4,5,1587.0,9.5,1.0
10,control,214.0,egg,14.0,5924989.0,5927159.0,5929380.0,TARGET,newer_NNS2,NNS,13,16,2221.0,9.5,1.0
10,control,202.0,apple,2.0,5565026.0,5566746.0,5567776.0,TARGET,newer_NNS2,NNS,14,16,1030.0,9.5,0.0
10,control,216.0,dog,16.0,5962111.0,5963691.0,5965701.0,TARGET,newer_NNS2,NNS,8,10,2010.0,9.5,1.0
10,exp,201.0,bluecup,1.0,5553272.0,5555442.0,5557464.0,TARGET,newer_NNS2,NNS,9,3,2022.0,8.0,0.0
10,exp,215.0,woodenbowl,15.0,5937054.0,5938214.0,5939556.0,COMPETITOR,newer_NNS2,NNS,15,10,1342.0,8.0,1.0
10,exp,203.0,lamp,3.0,5594286.0,5595466.0,5598914.0,COMPETITOR,newer_NNS2,NNS,1,3,3448.0,8.0,0.0
10,exp,212.0,key,12.0,5856650.0,5857980.0,5859391.0,TARGET,newer_NNS2,NNS,1,16,1411.0,8.0,1.0
10,exp,205.0,grapes,5.0,5645966.0,5646986.0,5648781.0,TARGET,newer_NNS2,NNS,6,16,1795.0,8.0,0.0
10,exp,210.0,icecream,10.0,5817260.0,5819290.0,5820221.0,COMPETITOR,newer_NNS2,NNS,4,10,931.0,8.0,1.0
10,exp,207.0,cat,7.0,5727930.0,5729210.0,5731225.0,COMPETITOR,newer_NNS2,NNS,15,5,2015.0,8.0,0.0
10,exp,209.0,chicken,9.0,5767508.0,5768668.0,5770651.0,COMPETITOR,newer_NNS2,NNS,11,5,1983.0,8.0,1.0
11,control,225.0,grapes,5.0,8435628.0,8436478.0,8438546.0,TARGET,newer_NS1,NS,6,16,2068.0,9.0,0.0
11,control,227.0,cat,7.0,8514361.0,8515661.0,8517438.0,TARGET,newer_NS1,NS,15,5,1777.0,9.0,0.0
11,control,232.0,key,12.0,8635238.0,8636438.0,8637973.0,TARGET,newer_NS1,NS,1,16,1535.0,9.0,1.0
11,control,229.0,chicken,9.0,8556577.0,8557567.0,8559656.0,TARGET,newer_NS1,NS,11,5,2089.0,9.0,1.0
11,control,230.0,icecream,10.0,8596860.0,8598870.0,8601923.0,TARGET,newer_NS1,NS,4,10,3053.0,9.0,1.0
11,control,235.0,woodenbowl,15.0,8714343.0,8715333.0,8717049.0,TARGET,newer_NS1,NS,15,10,1716.0,9.0,1.0
11,control,223.0,lamp,3.0,8377198.0,8378138.0,8380791.0,TARGET,newer_NS1,NS,1,3,2653.0,9.0,0.0
11,exp,222.0,apple,2.0,8341692.0,8343482.0,8349165.0,TARGET,newer_NS1,NS,14,16,5683.0,9.5,0.0
11,exp,236.0,dog,16.0,8740327.0,8741807.0,8745507.0,COMPETITOR,newer_NS1,NS,8,10,3700.0,9.5,1.0
11,exp,224.0,boat,4.0,8400845.0,8402265.0,8404080.0,TARGET,newer_NS1,NS,4,10,1815.0,9.5,0.0
11,exp,233.0,swan,13.0,8655269.0,8656359.0,8658718.0,COMPETITOR,newer_NS1,NS,4,5,2359.0,9.5,1.0
11,exp,226.0,pizza,6.0,8457519.0,8458509.0,8461803.0,COMPETITOR,newer_NS1,NS,12,3,3294.0,9.5,0.0
11,exp,231.0,telephone,11.0,8609392.0,8610752.0,8612667.0,COMPETITOR,newer_NS1,NS,14,5,1915.0,9.5,1.0
11,exp,228.0,chair,8.0,8528140.0,8529710.0,8532071.0,COMPETITOR,newer_NS1,NS,11,3,2361.0,9.5,0.0
11,exp,234.0,egg,14.0,8703575.0,8705305.0,8707209.0,COMPETITOR,newer_NS1,NS,13,16,1904.0,9.5,1.0
12,control,244.0,boat,4.0,2065421.0,2066841.0,2068328.0,TARGET,newer_NS2,NS,4,10,1487.0,9.5,0.0
